-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         5.09%       2.872ms         7.54%       4.254ms      39.756us      21.177ms        44.16%      21.177ms     197.919us           0 B           0 B     882.63 MB     882.63 MB           107  
                                            aten::empty         1.18%     665.225us         1.18%     665.225us       5.117us       0.000us         0.00%       0.000us       0.000us     654.77 KB     654.77 KB     808.73 MB     808.73 MB           130  
                                            aten::addmm         1.65%     930.174us         2.19%       1.235ms      32.503us      21.093ms        43.98%      21.093ms     555.071us           0 B           0 B     648.09 MB     648.09 MB            38  
                                              aten::mul         0.84%     471.722us         1.40%     791.724us      26.391us     458.303us         0.96%     458.303us      15.277us           0 B           0 B     360.00 MB     360.00 MB            30  
                                              aten::add         0.43%     244.901us         0.69%     387.451us      15.498us     432.381us         0.90%     432.381us      17.295us           0 B           0 B     300.00 MB     300.00 MB            25  
                                             aten::gelu         0.13%      72.260us         0.20%     110.920us      18.487us     359.358us         0.75%     359.358us      59.893us           0 B           0 B     288.00 MB     288.00 MB             6  
                                    aten::gelu_backward         0.19%     104.820us         0.31%     174.180us      29.030us     541.471us         1.13%     541.471us      90.245us           0 B           0 B     288.00 MB     288.00 MB             6  
                                    aten::empty_strided         0.40%     223.592us         0.40%     223.592us       3.606us       0.000us         0.00%       0.000us       0.000us     128.00 KB     128.00 KB     188.01 MB     188.01 MB            62  
                                          aten::resize_         0.02%       9.470us         0.02%       9.470us       1.894us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      12.38 MB      12.38 MB             5  
                                              aten::sub         0.03%      15.200us         0.04%      22.020us      22.020us       3.360us         0.01%       3.360us       3.360us           0 B           0 B       2.00 MB       2.00 MB             1  
