-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           Optimizer.step#rSVDAdam.step        29.57%       8.242ms        99.97%      27.865ms      27.865ms       0.000us         0.00%       8.058ms       8.058ms           0 b          24 b           0 b    -427.92 Mb             1  
                                           aten::matmul         0.50%     139.000us         7.52%       2.095ms      26.188us       0.000us         0.00%       5.117ms      63.962us           0 b           0 b     309.19 Mb           0 b            80  
                                               aten::mm         5.06%       1.410ms         7.02%       1.956ms      24.450us       5.032ms        68.47%       5.117ms      63.962us           0 b           0 b     309.19 Mb     309.19 Mb            80  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us       2.908ms        39.57%       2.908ms      74.564us           0 b           0 b           0 b           0 b            39  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us       1.038ms        14.12%       1.038ms     148.286us           0 b           0 b           0 b           0 b             7  
                                             aten::mul_         6.26%       1.744ms        11.21%       3.125ms      10.016us     788.000us        10.72%     986.000us       3.160us        -136 b        -136 b           0 b           0 b           312  
                                             aten::add_         4.73%       1.317ms         8.59%       2.395ms       9.657us     733.000us         9.97%     847.000us       3.415us         -56 b         -56 b           0 b           0 b           248  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     788.000us        10.72%     788.000us       2.526us           0 b           0 b           0 b           0 b           312  
                        ampere_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us     639.000us         8.70%     639.000us      24.577us           0 b           0 b           0 b           0 b            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     584.000us         7.95%     584.000us       4.056us           0 b           0 b           0 b           0 b           144  
