-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         3.17%     515.829ms         4.53%     736.891ms      37.984us        8.416s        56.78%        8.625s     444.568us           0 b           0 b     174.46 Gb     174.46 Gb         19400  
    autograd::engine::evaluate_function: AddmmBackward0         1.06%     172.025ms         9.29%        1.513s     199.022us       0.000us         0.00%        8.605s       1.132ms           0 b           0 b     -39.89 Gb    -199.26 Gb          7600  
                                         AddmmBackward0         0.80%     130.363ms         5.48%     892.005ms     117.369us       0.000us         0.00%        8.318s       1.094ms           0 b           0 b     159.34 Gb           0 b          7600  
                                            aten::addmm         1.17%     191.231ms         1.55%     252.865ms      33.272us        4.189s        28.26%        4.256s     560.056us           0 b           0 b     126.58 Gb     126.58 Gb          7600  
                                           aten::linear         0.22%      35.981ms         2.21%     359.781ms      47.340us       0.000us         0.00%        4.256s     560.033us           0 b           0 b     126.58 Gb     673.50 Kb          7600  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us        2.956s        19.95%        2.956s     368.916us           0 b           0 b           0 b           0 b          8013  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us        2.883s        19.45%        2.883s     480.474us           0 b           0 b           0 b           0 b          6000  
                           Optimizer.step#rSVDAdam.step         2.27%     369.682ms        11.51%        1.875s      37.494ms       0.000us         0.00%        1.845s      36.899ms           0 b     -12.58 Kb     145.04 Mb     -21.65 Gb            50  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.472s         9.93%        1.472s     285.566us           0 b           0 b           0 b           0 b          5156  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.423s         9.60%        1.423s     608.496us           0 b           0 b           0 b           0 b          2339  
