-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.44%     225.869ms         2.09%     327.413ms      41.976us        7.873s        54.88%        7.873s       1.009ms           0 B           0 B      54.84 GB      54.84 GB          7800  
                                            aten::empty         0.42%      65.094ms         0.43%      68.061ms       5.917us       0.000us         0.00%       0.000us       0.000us       3.41 MB       3.41 MB      42.87 GB      42.87 GB         11503  
                                            aten::addmm         0.48%      74.604ms         0.63%      99.361ms      52.295us        3.318s        23.13%        3.318s       1.746ms           0 B           0 B      31.65 GB      31.65 GB          1900  
                                             aten::gelu         0.04%       5.973ms         0.06%       9.760ms      32.535us     126.865ms         0.88%     126.865ms     422.884us           0 B           0 B      14.06 GB      14.06 GB           300  
                                    aten::gelu_backward         0.03%       4.614ms         0.05%       7.856ms      26.186us     183.041ms         1.28%     183.041ms     610.138us           0 B           0 B      14.06 GB      14.06 GB           300  
                                              aten::add         0.09%      14.170ms         0.14%      21.728ms      28.971us      99.928ms         0.70%      99.928ms     133.238us           0 B           0 B       7.62 GB       7.62 GB           750  
                                    aten::empty_strided         0.17%      26.476ms         0.18%      27.547ms       8.608us       0.000us         0.00%       0.000us       0.000us       3.19 MB       3.19 MB       5.35 GB       5.35 GB          3200  
                                              aten::div         0.54%      84.849ms         0.87%     135.834ms      18.356us      39.802ms         0.28%      39.802ms       5.379us           0 B           0 B       3.74 GB       3.74 GB          7400  
                                              aten::mul         0.03%       5.207ms         0.06%       9.359ms      26.739us      44.163ms         0.31%      44.163ms     126.181us           0 B           0 B       3.52 GB       3.52 GB           350  
                                             aten::sqrt         0.39%      61.839ms         0.63%      98.681ms      18.977us      16.240ms         0.11%      16.242ms       3.124us           0 B           0 B       1.88 GB       1.88 GB          5200  
