-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.44%     225.869ms         2.09%     327.413ms      41.976us        7.873s        54.88%        7.873s       1.009ms           0 B           0 B      54.84 GB      54.84 GB          7800  
    autograd::engine::evaluate_function: AddmmBackward0         0.23%      36.613ms         2.02%     316.836ms     166.756us       0.000us         0.00%        7.349s       3.868ms           0 B           0 B      -9.65 GB     -49.81 GB          1900  
                                         AddmmBackward0         0.15%      22.811ms         1.30%     203.395ms     107.050us       0.000us         0.00%        7.168s       3.773ms           0 B           0 B      40.16 GB           0 B          1900  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        3.951s        27.54%        3.951s       1.068ms           0 B           0 B           0 B           0 B          3700  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us        3.735s        26.04%        3.735s       1.660ms           0 B           0 B           0 B           0 B          2250  
                                           aten::linear         0.08%      12.679ms         0.93%     145.523ms      76.591us       0.000us         0.00%        3.318s       1.746ms           0 B           0 B      31.65 GB           0 B          1900  
                                            aten::addmm         0.48%      74.604ms         0.63%      99.361ms      52.295us        3.318s        23.13%        3.318s       1.746ms           0 B           0 B      31.65 GB      31.65 GB          1900  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us        3.315s        23.11%        3.315s       1.842ms           0 B           0 B           0 B           0 B          1800  
                        Optimizer.step#rSVDSVTAdam.step         0.00%       0.000us         0.00%       0.000us       0.000us        2.132s        14.87%        2.132s      42.648ms           0 B           0 B           0 B           0 B            50  
                        Optimizer.step#rSVDSVTAdam.step         3.57%     559.652ms        14.21%        2.226s      44.513ms       0.000us         0.00%        1.162s      23.230ms           0 B     -15.62 KB           0 B     -20.30 GB            50  
